OpenJDK 64-Bit Server VM (25.0-b70) for linux-amd64 JRE (1.8.0-internal-rbruno_2015_06_16_18_57-b00), built on Feb 13 2017 22:45:11 by "root" with gcc 4.6.4
Memory: 4k page, physical 35197500k(34083656k free), swap 0k(0k free)
CommandLine flags: -XX:+CMSEdenChunksRecordAlways -XX:CMSInitiatingOccupancyFraction=75 -XX:+CMSParallelInitialMarkEnabled -XX:+CMSParallelRemarkEnabled -XX:CMSWaitDuration=10000 -XX:InitialHeapSize=4294967296 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=4294967296 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=1 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PerfDisableSharedMem -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:-TieredCompilation -XX:+UseCMSInitiatingOccupancyOnly -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseCondCardMark -XX:+UseParNewGC 
924.821: [GC (Allocation Failure) 924.822: [ParNew: 546590K->1450K(613440K), 0.0244666 secs] 1302655K->758332K(4126208K), 0.0245842 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
933.228: [GC (Allocation Failure) 933.228: [ParNew: 546794K->1080K(613440K), 0.0199751 secs] 1303676K->758755K(4126208K), 0.0200512 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
941.357: [GC (Allocation Failure) 941.357: [ParNew: 546424K->1278K(613440K), 0.0281416 secs] 1304099K->759802K(4126208K), 0.0283142 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
949.552: [GC (Allocation Failure) 949.552: [ParNew: 546622K->1075K(613440K), 0.0333239 secs] 1305146K->760397K(4126208K), 0.0334085 secs] [Times: user=0.13 sys=0.01, real=0.03 secs] 
959.177: [GC (Allocation Failure) 959.177: [ParNew: 546419K->1568K(613440K), 0.0223044 secs] 1305741K->761664K(4126208K), 0.0224760 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
969.221: [GC (Allocation Failure) 969.221: [ParNew: 546912K->2051K(613440K), 0.0323571 secs] 1307008K->763333K(4126208K), 0.0324439 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
979.634: [GC (Allocation Failure) 979.634: [ParNew: 547395K->1662K(613440K), 0.0333511 secs] 1308677K->762997K(4126208K), 0.0333511 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
989.657: [GC (Allocation Failure) 989.657: [ParNew: 547006K->1890K(613440K), 0.0217107 secs] 1308341K->763879K(4126208K), 0.0217107 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
999.639: [GC (Allocation Failure) 999.639: [ParNew: 547234K->1974K(613440K), 0.0304312 secs] 1309223K->765378K(4126208K), 0.0305182 secs] [Times: user=0.12 sys=0.00, real=0.04 secs] 
1009.929: [GC (Allocation Failure) 1009.929: [ParNew: 547318K->2006K(613440K), 0.0276373 secs] 1310722K->766777K(4126208K), 0.0278003 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
1019.078: [GC (Allocation Failure) 1019.079: [ParNew: 547350K->1846K(613440K), 0.0230427 secs] 1312121K->767951K(4126208K), 0.0231288 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
